simulation,selected_model,selection_mean_hits,outer_mean_hits,outer_total_hits,unadjusted_normal_p,appears_significant_p_le_0_05
552,repeat_last,0.7269417475728155,0.7184466019417476,592,0.7302862119135235,False
553,cold_gap,0.7839805825242718,0.7111650485436893,586,0.8129209871859224,False
554,exclude_last,0.779126213592233,0.7451456310679612,614,0.34650443451839497,False
555,fixed_1_6,0.758495145631068,0.7487864077669902,617,0.2972620413105247,False
556,prespecified_full_linear,0.7803398058252428,0.7317961165048543,603,0.5435779510099145,False
557,recent20,0.7718446601941747,0.6990291262135923,576,0.9110259673607168,False
558,historical,0.7730582524271845,0.720873786407767,594,0.6991652543184983,False
559,exclude_last,0.7633495145631068,0.7257281553398058,598,0.6325617661226961,False
560,repeat_last,0.7427184466019418,0.7026699029126213,579,0.8867806117934394,False
561,fixed_1_6,0.7487864077669902,0.8143203883495146,671,0.0013166511356899329,True
562,fixed_1_6,0.7621359223300971,0.7293689320388349,601,0.5797013408847131,False
563,fixed_1_6,0.7815533980582524,0.7512135922330098,619,0.2663239119791186,False
564,historical,0.75,0.7281553398058253,600,0.5975336261150406,False
565,exclude_last,0.779126213592233,0.6856796116504854,565,0.9679387275865099,False
566,recent50,0.7669902912621359,0.7463592233009708,615,0.3297462616248388,False
567,fixed_1_6,0.7609223300970874,0.7063106796116505,582,0.8581550282525336,False
568,historical,0.7657766990291263,0.6966019417475728,574,0.9248932156289063,False
569,recent50,0.7779126213592233,0.7512135922330098,619,0.2663239119791186,False
570,ewma,0.7694174757281553,0.7330097087378641,604,0.525360829848416,False
571,ewma,0.7803398058252428,0.7014563106796117,578,0.895337242477618,False
572,recent100,0.758495145631068,0.6735436893203883,555,0.9895480313898409,False
573,repeat_last,0.7536407766990292,0.712378640776699,587,0.8003502382496974,False
574,cold_gap,0.7754854368932039,0.7317961165048543,603,0.5435779510099145,False
575,cold_gap,0.7754854368932039,0.7378640776699029,608,0.4523436802930008,False
576,historical,0.7669902912621359,0.7233009708737864,596,0.6665198595841199,False
577,exclude_last,0.7597087378640777,0.7803398058252428,643,0.042344827891062045,True
578,historical,0.779126213592233,0.7233009708737864,596,0.6665198595841199,False
579,repeat_last,0.7815533980582524,0.6953883495145631,573,0.9311772565970722,False
580,exclude_last,0.7536407766990292,0.7669902912621359,632,0.11125636257450994,False
581,recent50,0.7657766990291263,0.7402912621359223,610,0.4162798370944438,False
582,cold_gap,0.7475728155339806,0.7548543689320388,622,0.22318352957237225,False
583,historical,0.7742718446601942,0.8009708737864077,660,0.006151006253378225,True
584,recent20,0.7669902912621359,0.7075242718446602,583,0.8476079784124912,False
585,cold_gap,0.7742718446601942,0.6905339805825242,569,0.9523393170070952,False
586,recent20,0.7694174757281553,0.7281553398058253,600,0.5975336261150406,False
587,repeat_last,0.7669902912621359,0.7645631067961165,630,0.12961854403261824,False
588,recent20,0.7851941747572816,0.7548543689320388,622,0.22318352957237225,False
589,fixed_1_6,0.7949029126213593,0.7548543689320388,622,0.22318352957237225,False
590,cold_gap,0.7864077669902912,0.7706310679611651,635,0.08732862529121244,False
591,repeat_last,0.7888349514563107,0.758495145631068,625,0.18432577747804996,False
592,exclude_last,0.7815533980582524,0.7451456310679612,614,0.34650443451839497,False
593,cold_gap,0.7718446601941747,0.7390776699029126,609,0.4342433395169152,False
594,repeat_last,0.8118932038834952,0.7427184466019418,612,0.3809077895376133,False
595,recent50,0.7694174757281553,0.7706310679611651,635,0.08732862529121244,False
596,recent50,0.7864077669902912,0.7330097087378641,604,0.525360829848416,False
597,repeat_last,0.7973300970873787,0.7524271844660194,620,0.25149009712395237,False
598,recent20,0.7669902912621359,0.7439320388349514,613,0.3635685701246699,False
599,ewma,0.7694174757281553,0.7427184466019418,612,0.3809077895376133,False
600,fixed_1_6,0.7451456310679612,0.7233009708737864,596,0.6665198595841199,False
601,historical,0.8009708737864077,0.691747572815534,570,0.9476125393906026,False
602,cold_gap,0.7742718446601942,0.7609223300970874,627,0.16092100159564854,False
603,cold_gap,0.7730582524271845,0.7487864077669902,617,0.2972620413105247,False
604,recent100,0.7839805825242718,0.720873786407767,594,0.6991652543184983,False
605,recent50,0.7839805825242718,0.7342233009708737,605,0.5070905203342269,False
606,repeat_last,0.7621359223300971,0.7609223300970874,627,0.16092100159564854,False
607,repeat_last,0.7645631067961165,0.7148058252427184,589,0.7737324306823015,False
608,cold_gap,0.7536407766990292,0.6868932038834952,566,0.964500827299584,False
609,repeat_last,0.7766990291262136,0.6820388349514563,562,0.9766407492286588,False
610,ewma,0.8021844660194175,0.7281553398058253,600,0.5975336261150406,False
611,recent100,0.7487864077669902,0.7184466019417476,592,0.7302862119135235,False
612,recent50,0.7815533980582524,0.7621359223300971,628,0.14998015138892434,False
613,exclude_last,0.7766990291262136,0.7597087378640777,626,0.17237005601348904,False
614,fixed_1_6,0.7839805825242718,0.7730582524271845,637,0.07365931597746934,False
615,historical,0.7718446601941747,0.7597087378640777,626,0.17237005601348904,False
616,repeat_last,0.7378640776699029,0.6966019417475728,574,0.9248932156289063,False
617,repeat_last,0.7803398058252428,0.7657766990291263,631,0.12019050963371014,False
618,cold_gap,0.7548543689320388,0.7111650485436893,586,0.8129209871859224,False
619,recent50,0.758495145631068,0.7233009708737864,596,0.6665198595841199,False
620,repeat_last,0.7888349514563107,0.7754854368932039,639,0.061689369986829744,False
621,recent50,0.7427184466019418,0.7378640776699029,608,0.4523436802930008,False
622,cold_gap,0.741504854368932,0.7548543689320388,622,0.22318352957237225,False
